complaintnumber,status,dateentered,housenumber,zipcode,housestreet,bin,communityboard,specialdistrict,complaintcategory,unit,dispositiondate,dispositioncode,inspectiondate,dobrundate
2002192,CLOSED,1990-01-04,12,10468,WEST 184 STREET,2014276,207,,72,BRONX,1990-03-19,B1,1990-02-28,2024-05-29
2005008,CLOSED,1991-01-08,2310,10467,HOLLAND AVENUE,2050059,211,,63,ELEVR,1997-04-08,J2,1995-11-13,2024-05-29
2005038,CLOSED,1991-01-09,2310,10467,HOLLAND AVENUE,2050059,211,,63,ELEVR,1997-04-08,J2,1995-11-13,2024-05-29
2005040,CLOSED,1991-01-09,2310,10467,HOLLAND AVENUE,2050059,211,,63,ELEVR,1997-04-08,J2,1995-11-13,2024-05-29
1005112,CLOSED,1990-01-16,514,10031,WEST 136 STREET,1059804,109,,41,MAN.,1990-01-22,A1,1990-01-16,2024-05-29
1005122,CLOSED,1990-01-17,128,10023,WEST 72 STREET,1079315,107,,05,MAN.,1990-02-06,B1,1990-01-25,2024-05-29
1010642,CLOSED,1991-01-14,374,10010,2 AVENUE,1020543,106,,62,ELEVR,1991-01-24,A1,1991-01-14,2024-05-29
4000311,CLOSED,1989-01-24,34-43,11358,FRANCIS LEWIS BOULEVARD,4135129,411,,05,QNS.,1989-02-14,A1,1989-02-02,2024-05-29
1011050,CLOSED,1991-02-06,326,10014,BLEECKER STREET,1010044,102,,48,MAN.,1991-03-04,I2,1991-02-15,2024-05-29
2002387,CLOSED,1990-02-13,960,10451,GRAND CONCOURSE,2002815,204,,05,BRONX,1990-02-21,I2,1990-02-15,2024-05-29
2005276,CLOSED,1991-02-20,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1997-04-08,J2,1996-04-04,2024-05-29
1017294,CLOSED,1992-01-06,94,10014,CHRISTOPHER STREET,1010042,102,,99,MAN.,1992-01-13,I2,1992-01-06,2024-05-29
2002417,CLOSED,1990-02-22,960,10451,GRAND CONCOURSE,2002815,204,,05,BRONX,1990-03-05,B1,1990-02-26,2024-05-29
2010775,CLOSED,1993-04-01,940,10451,GRAND CONCOURSE,2002814,204,,63,ELEVR,1997-04-08,J2,1995-10-14,2024-05-29
2010803,CLOSED,1993-04-06,1000,10451,GRAND CONCOURSE,2002822,204,,40,BRONX,1993-04-06,I2,1993-04-06,2024-05-29
4032190,CLOSED,1993-04-12,34-45,11358,FRANCIS LEWIS BLVD,4135129,411,,39,QNS.,1993-05-06,I2,1993-04-14,2024-05-29
2010824,CLOSED,1993-04-07,1110,10460,WYATT STREET,2028349,206,,32,BRONX,1993-04-15,I1,1993-04-14,2024-05-29
1023728,CLOSED,1993-04-19,326,10014,BLEECKER STREET,1010044,102,,05,MAN.,1993-04-21,I2,1993-04-20,2024-05-29
2010562,CLOSED,1993-03-01,346,10460,DEVOE AVENUE,2028349,206,,31,BRONX,1993-05-06,C2,1993-04-30,2024-05-29
1023679,CLOSED,1993-04-14,326,10014,BLEECKER STREET,1010044,102,,05,MAN.,1993-04-21,I2,1993-04-20,2024-05-29
1023792,CLOSED,1993-04-22,326,10014,BLEECKER STREET,1010044,102,,05,MAN.,1993-05-14,I2,1993-05-04,2024-05-29
2010954,CLOSED,1993-04-28,1110,10460,WYATT STREET,2028349,206,,51,BRONX,1993-04-28,G6,1993-04-28,2024-05-29
1023923,CLOSED,1993-05-03,326,10014,BLEECKER STREET,1010044,102,,05,MAN.,1993-05-14,I2,1993-05-04,2024-05-29
2002514,CLOSED,1990-03-08,960,10451,GRAND CONCOURSE,2002815,204,,40,BRONX,1990-03-09,I2,1990-03-08,2024-05-29
3028265,CLOSED,1993-04-15,378,11211,HOOPER STREET,3063208,301,,54,BKLYN,1993-05-07,B1,1993-04-29,2024-05-29
2002480,CLOSED,1990-03-02,1221,10472,WHITE PLAINS ROAD,2024878,209,,39,BRONX,1990-03-22,F8,1990-03-13,2024-05-29
2002616,CLOSED,1990-03-23,1225-27,10472,WHITE PLAINS RD,2024877,209,,05,BRONX,1990-05-23,A1,1990-05-16,2024-05-29
1024237,CLOSED,1993-05-24,94,10014,CHRISTOPHER STREET,1010042,102,,32,MAN.,1993-06-18,I2,1993-06-15,2024-05-29
1017608,CLOSED,1992-01-31,94,10014,CHRISTOPHER STREET,1010042,102,,55,MAN.,1992-05-19,I2,1992-05-08,2024-05-29
1017678,CLOSED,1992-02-05,94,10014,CHRISTOPHER STREET,1010042,102,,55,MAN.,1992-05-19,I2,1992-05-08,2024-05-29
1024369,CLOSED,1993-06-01,94,10014,CHRISTOPHER STREET,1010042,102,,31,MAN.,1993-07-02,A1,1993-06-16,2024-05-29
1024370,CLOSED,1993-06-01,326,10014,BLEECKER STREET,1010044,102,,05,MAN.,1993-06-14,I2,1993-06-07,2024-05-29
4009319,CLOSED,1990-03-01,34-43,11358,FRANCIS LEWIS BOULEVARD,4135129,411,,05,QNS.,1990-04-10,I2,1990-04-04,2024-05-29
2011266,CLOSED,1993-06-09,2805,10468,GRAND CONCOURSE,2017465,207,,63,ELEVR,1997-04-08,J2,1996-04-04,2024-05-29
1012784,CLOSED,1991-04-16,94,10014,CHRISTOPHER STREET,1010042,102,,05,MAN.,1991-04-23,B1,1991-04-19,2024-05-29
1006435,CLOSED,1990-04-20,90,10014,CHRISTOPHER STREET,1010043,102,,66,MAN.,1990-05-02,K1,1990-04-27,2024-05-29
1006445,CLOSED,1990-04-23,90,10014,CHRISTOPHER STREET,1010043,102,,65,MAN.,1991-05-08,K1,1991-05-07,2024-05-29
3021436,CLOSED,1992-03-04,93,11226,LINDEN BOULEVARD,3116662,317,,64,ELEVR,2001-03-21,I1,2001-03-21,2024-05-29
3021445,CLOSED,1992-03-05,70,11238,CLIFTON PLACE,3329473,302,,54,BKLYN,1992-04-21,B1,1992-04-14,2024-05-29
1006675,CLOSED,1990-05-03,94,10014,CHRISTOPHER STREET,1010042,102,,28,MAN.,1990-05-07,A1,1990-05-03,2024-05-29
3021550,CLOSED,1992-03-10,70,11238,CLIFTON PLACE,3329473,302,,28,BKLYN,1992-03-11,B1,1992-03-10,2024-05-29
1013091,CLOSED,1991-04-30,630,10031,WEST 153 STREET,1062472,109,,73,MAN.,1991-10-30,I2,1991-10-02,2024-05-29
1013259,CLOSED,1991-05-08,19,10021,EAST 76 STREET,1041795,108,,32,MAN.,1991-06-06,I2,1991-05-30,2024-05-29
1013304,CLOSED,1991-05-10,19,10021,EAST 76 STREET,1041795,108,,32,MAN.,1991-12-12,C2,1991-12-10,2024-05-29
1018278,CLOSED,1992-03-20,313,10010,EAST 22 STREET,1020570,106,,44,MAN.,1992-04-06,F1,1992-03-26,2024-05-29
1024926,CLOSED,1993-07-12,336,10025,WEST 95 STREET,1034185,107,,63,ELEVR,1997-04-08,J2,1995-09-05,2024-05-29
2008343,CLOSED,1992-03-24,1489,10461,WILLIAMSBRIDGE ROAD,2044129,211,,39,BRONX,1992-04-17,C2,1992-04-08,2024-05-29
3029862,CLOSED,1993-07-14,399,11211,BERRY STREET,3059585,301,,45,BKLYN,1993-10-19,B1,1993-08-26,2024-05-29
1018385,CLOSED,1992-03-27,62,,PEARL  ST,1087449,1,,45,MAN.,1992-07-01,C2,1992-06-24,2024-05-29
1025078,CLOSED,1993-07-20,374,10010,2 AVENUE,1020543,106,,39,MAN.,1993-08-02,B1,1993-07-22,2024-05-29
1025087,CLOSED,1993-07-20,124,,WEST 72 STREET,1079313,1,,23,MAN.,1993-07-26,I2,1993-07-22,2024-05-29
1025229,CLOSED,1993-07-26,336,10025,WEST 95 STREET,1034185,107,,63,ELEVR,1997-04-08,J2,1995-09-05,2024-05-29
3009588,CLOSED,1990-05-30,100,11211,SOUTH 8 STREET,3059585,301,,43,BKLYN,1991-06-19,A1,1991-06-13,2024-05-29
1025296,CLOSED,1993-07-30,142,10030,WEST 139 STREET,1060050,110,,73,MAN.,1993-08-12,F3,1993-08-03,2024-05-29
2006133,CLOSED,1991-05-31,1221,10472,WHITE PLAINS ROAD,2024878,209,,63,ELEVR,1991-06-21,A1,1991-06-19,2024-05-29
1007086,CLOSED,1990-05-31,94,10014,CHRISTOPHER STREET,1010042,102,,05,MAN.,1990-08-15,B1,1990-06-04,2024-05-29
1013756,CLOSED,1991-06-03,94,10014,CHRISTOPHER STREET,1010042,102,,32,MAN.,1991-08-14,A1,1991-08-08,2024-05-29
