bin,violationissuedate,violationnumber,violationtype,violationremarks,violationstatus,devicenumber,devicetype,cycleenddate,borough,block,lot,housenumber,street,city,state,zip,bbl,postcode,latitude,longitude,communityboard,councildistrict,censustract2020,neighborhoodtabulationareanta2020
1060908,2012-08-15,081512EACC101365,E,,Active,1P15971,Elevator,2010-12-31,Manhattan,2048,25,105,EDGECOMBE AVENUE,New York,New York,,1020480025,10030,40.819948,-73.945849,110,9,22102,Harlem (North)
2007907,2004-04-21,042104LL108101893,LL1081,,Active,2P1752,Elevator,2003-12-31,Bronx,2827,46,1895,MORRIS AVENUE,New York,New York,,2028270046,10453,40.849458,-73.9081,205,14,23301,Mount Hope
3041227,2014-05-15,051514LBLVIO11256,LBLVIO,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2012 INSPECTION REPORT,Active,30000939466Y0001,Boiler,2012-12-31,Brooklyn,1519,16,276,MARION STREET,New York,New York,,3015190016,11233,40.680894,-73.918554,303,41,379,Bedford-Stuyvesant (East)
2083557,2023-10-23,VIO-FTC-VT-CAT1-201912-0002498,FTC-VT-CAT1-CO,Violation Issued-Failure To File 2019 Cat1 Test Affirmation of Correction,Active,2P1258,Elevator,2019-12-31,Bronx,5754,90,225,WEST 232 STREET,New York,New York,,2057540090,10463,40.880352,-73.904318,208,11,287,Kingsbridge-Marble Hill
2044129,2002-03-26,032602LL629112286,LL6291,,Active,20000014034Y0001,Boiler,2001-12-31,Bronx,4077,34,1487,WILLIAMSBRIDGE ROAD,New York,New York,,2040770034,10461,40.844072,-73.845852,210,18,200,Westchester Square
2002822,2018-01-26,012618ACC104448,ACC1,,Active,2P1638,Elevator,2016-12-31,Bronx,2461,90,1000,GRAND CONCOURSE,New York,New York,,2024610090,10451,40.82979,-73.921074,204,16,18301,Concourse-Concourse Village
1047700,2002-02-19,021902LL108101393,LL1081,,Active,1P30399,Elevator,2001-12-31,Manhattan,1513,124,153,EAST 84 STREET,New York,New York,,1015130124,10028,40.777989,-73.956069,108,4,14801,Upper East Side-Carnegie Hill
2008010,2018-01-26,012618ACC104594,ACC1,,Active,2P1934,Elevator,2016-12-31,Bronx,2835,26,1505,GRAND CONCOURSE,New York,New York,,2028350026,10452,40.841216,-73.912614,204,16,209,Mount Eden-Claremont (West)
2049375,2004-11-19,111904LL108101914,LL1081,,Active,2P1656,Elevator,2004-12-31,Bronx,4317,40,2185,BOLTON STREET,New York,New York,,2043170040,10462,40.8559,-73.868667,211,13,22401,Pelham Parkway-Van Nest
1047584,2006-01-06,010606LL629101273,LL6291,,Active,10000035707N0001,Boiler,2005-12-31,Manhattan,1510,52,1205,LEXINGTON AVENUE,New York,New York,,1015100052,10028,40.776685,-73.957622,108,4,140,Upper East Side-Carnegie Hill
1062472,2018-01-26,012618ACC104248,ACC1,,Active,1P12493,Elevator,2016-12-31,Manhattan,2099,49,630,WEST 153 STREET,New York,New York,,1020990049,10031,40.831914,-73.947852,109,7,237,Hamilton Heights-Sugar Hill
2048797,2006-01-06,010606LL629107174,LL6291,,Active,20000036726Y0001,Boiler,2005-12-31,Bronx,4288,45,2125,HOLLAND AVENUE,New York,New York,,2042880045,10462,40.853846,-73.865783,211,13,22404,Pelham Parkway-Van Nest
1020570,2023-06-30,063023LBLVIO44832,LBLVIO,VIOLATION ISSUED-FAILURE TO FILE 2021 EXTERNAL LOW PRESSURE INSPECTION,Dismissed,10000015026Y0001,Boiler,2021-12-31,Manhattan,928,9,313,EAST 22 STREET,New York,New York,,1009280009,10010,40.736992,-73.980821,106,2,64,Gramercy
4030008,2016-11-14,111416ACC107070,ACC1,,Dismissed,4P308,Elevator,2014-12-31,Queens,1291,64,37-21,80 STREET,New York,New York,,4012910064,11372,40.749222,-73.886096,403,25,283,Jackson Heights
