bbl,isndobbisviol,boro,bin,block,lot,issuedate,violationtypecode,violationnumber,housenumber,street,dispositiondate,dispositioncomments,devicenumber,description,ecbnumber,number,violationcategory,violationtype
1005880060,496958,1,1010043,00588,00060,1974-04-22,LANDMK,00-0218,90,CHRISTOPHER STREET,1999-06-11,,,,,V*042274LANDMK00-0218,V*-DOB VIOLATION - DISMISSED,LANDMK-LANDMARK                                                        NONE
1005880060,425668,1,1010043,00588,00060,1974-04-22,LANDMK,74-0218,328,BLEECKER STREET,1999-07-06,,,,,V*042274LANDMK74-0218,V*-DOB VIOLATION - DISMISSED,LANDMK-LANDMARK                                                        NONE
1005880060,91884,1,1010043,00588,00060,1986-10-16,LANDMRK,VIOL,90,CHRISTOPHER STREET,1999-08-13,,,,,V*101686LANDMRKVIOL,V*-DOB VIOLATION - DISMISSED,LANDMRK-LANDMARK                                                        NONE
1005880060,496955,1,1010043,00588,00060,1986-10-16,LANDMK,87-0250,90,CHRISTOPHER STREET,2000-03-08,,,,,V*101686LANDMK87-0250,V*-DOB VIOLATION - DISMISSED,LANDMK-LANDMARK                                                        NONE
1009270001,15696,1,1020543,00927,00001,1988-09-30,E,1196A\2,374,SECOND AVE,1988-12-13,089-75,1P4250,(21&24)RESHACKLE DATE AND TAG HOIST CABLE AND DRUM CWT CABLE,,V*093088E1196A\2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270001,12995,1,1020543,00927,00001,1988-09-23,E,142630\2,301,E 21ST ST,1990-05-25,,1P18320,(51)REPAIR THE DOOR TO THE OVERHEAD,,V*092388E142630\2,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270001,13016,1,1020543,00927,00001,1988-09-23,E,142630\1,301,E 21ST ST,1991-03-04,,1P18318,(51)PROVIDE PROPER CLEARANCE BETWEEN THE CAST & THE BUFFER,,V*092388E142630\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270001,13000,1,1020543,00927,00001,1988-09-23,E,142630\3,301,E 21ST ST,1991-03-04,,1P18319,(51)SHORTEN GOVERNOR TENSION FRAME. (52)PROVIDE A PARKING DEVICE,,V*092388E142630\3,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270001,13356,1,1020543,00927,00001,1988-09-23,E,142630\4,301,E 21ST ST,1991-03-04,,1P18317,(51)PROVIDE A PARKING DEVICE,,V*092388E142630\4,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270055,13253,1,1020543,00927,00055,1988-09-30,E,1196A-03,374,SECOND AVE,1988-11-14,089-75,1P27451,(38)REPAIR THE DOOR OPERATOR AND RESTORE ELEVATOR TO SERVICE,,V*093088E1196A-03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270055,51511,1,1020543,00927,00055,1988-09-30,E,1196A-04,374,SECOND AVE,1988-12-13,089-75,1P29714,"(21 & 24)RESHACKLE, DATE & TAG HOIST CABLE & DRUM C.W.T. CABLE",,V*093088E1196A-04,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270055,39129,1,1020543,00927,00055,1988-10-11,E,1383A\03,374,SECOND AVE,1989-01-05,089-75,1P4250,(51)RESTORE ELEVATOR TO SERVICE SO AN INSPECTION CAN BE MADE BY A                MEMBER OF THIS DEPT,,V*101188E1383A\03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270055,19912,1,1020543,00927,00055,1988-10-11,E,1383A/02,374,SECOND AVE,1989-02-08,089-75,1P4247,(51)PROVIDE CAPACITY PLATE,,V*101188E1383A/02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009270055,39127,1,1020543,00927,00055,1988-10-11,E,1383A\02,374,SECOND AVE,1989-02-08,089-75,1P27451,(51)PROVIDE A CAPACITY PLATE,,V*101188E1383A\02,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1009280009,12986,1,1020570,00928,00009,1988-09-27,E,142630\1,313,E 22 ST,1988-12-01,021-73,1P30511,(51)LUBRICATE.HOIST CABLE (52)JREPAIR DOOR LANDING TO ROOF,,V*092788E142630\1,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1013910013,13809,1,1041795,01391,00013,1988-12-12,C,B4PO01,19,EAST 76 STREET,2003-12-16,,,,,V*121288CB4PO01,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL
1015130124,51158,1,1047700,01513,00124,1988-11-18,E,130006/03,155,E 84 ST,1989-01-10,039-74,1P30399,(50)PROVIDE ACCESS TO BUILDING SO A COMPLETE INSPECTION CAN BE                  MADE BY AN INSPECTOR FROM THIS DEPARTMENT,,V*111888E130006/03,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1016590045,14188,1,1052445,01659,00045,1988-12-12,C,STV5,200,EAST 110 STREET,,,,,,V121288CSTV5,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL
1016590045,14189,1,1052445,01659,00045,1988-12-12,C,STV6,200,EAST 110 STREET,2003-10-10,,,,,V*121288CSTV6,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION                                                    OTHER   OPTIONAL
1020070059,23339,1,1060050,02007,00059,1988-10-13,B,MD65449,142,WEST  139 STREET,2005-03-07,TCOCIA,,,,V*101388BMD65449,V*-DOB VIOLATION - DISMISSED,B-BOILER                                                          BOILER  OPTIONAL
1020480016,36954,1,1060906,02048,00016,1988-12-31,E,1474C/09,574,ST NICHOLAS AVE,1989-03-16,212-78,1P10083,51)CLEAN INSTALLATION 52)PROPERLY TAG GOV AFTER CONDUCTING 5YRS                 TEST,,V*123188E1474C/09,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1020480025,29772,1,1060908,02048,00025,1988-12-31,E,1474C-5,582,ST NICHOLAS AVE,1989-03-16,212-78,1P15870,(51)  CLEAN INSTALLATION                                                        (52)  COVERS CAR LIGHT,,V*123188E1474C-5,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1020480025,29754,1,1060908,02048,00025,1988-12-31,E,1474C-6,582,ST NICHOLAS AVE,1992-04-22,,1P15871,(51)  CLEAN INSTALLATION,,V*123188E1474C-6,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
1020480025,501,1,1060908,02048,00025,1988-07-19,E,1156A/6,582,ST NICHOLAS AVE,1989-01-20,212-78,1P15870,(50)PROVIDE ACCESS TO MOTOR ROOM,,V*071988E1156A/6,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED
